Desc,ID,Subj object id,Obj object id
"Thurn, verh. Feigensteiner, Anastasia von (ID: 4849) hat Ehe mit Eglsee, genannt Feigensteiner, Stefan von (ID: 3175)",9567,4849,3175
"Hasler, geb. Schartenberger, Margarethe (ID: 4913) hat Ehe mit Hasler, Hans (ID: 3453)",9753,4913,3453
"Thun, verh. von Schellenberg, Tschwenna von (ID: 3291) hat Ehe mit Schellenberg, Clemens von (ID: 3190)",9767,3291,3190
"Rantl, Anna (ID: 4921) hat Ehe mit Rantl, Paul (ID: 273)",9796,4921,273
"Hallwyl, verh. von Klingenberg, Margarethe von (ID: 4935) hat Ehe mit Klingenberg, Heinrich von (ID: 409)",9897,4935,409
"Rainoltz, verh. Tratzberger, Barbara (ID: 5031) hat Ehe mit Tratzberger, Johannes (ID: 2505)",10053,5031,2505
"Lupfen, verh. von Hewen, N. von (ID: 5119) hat Ehe mit Hewen, Peter von (ID: 1314)",10198,5119,1314
"Schlanders, verh. Fuchsmagen, Anna von (ID: 5182) hat Ehe mit Fuchsmagen, Leopold (ID: 5181)",10383,5182,5181
"Schlanders, Anna von (ID: 5184) hat Ehe mit Schlanders, Paul von (ID: 5183)",10387,5184,5183
"Landau (Frau des Heinrich von Landau), N. von (ID: 5196) hat Ehe mit Landau, Heinrich von (ID: 5195)",10417,5196,5195
"Kloel, Christine (ID: 5216) hat Ehe mit Kloel, Benedikt (ID: 2718)",10495,5216,2718
"Senng, verh. Spieß, Anna (ID: 300) hat Ehe mit Spieß vom Spieß, Leopold (ID: 294)",10607,300,294
"Senng, Sophie (ID: 5237) hat Ehe mit Senng, Sigmund (ID: 2580)",10609,5237,2580
"Wittenbach, Resen von (ID: 5241) hat Ehe mit Wittenbach, Ulrich (ID: 3625)",10621,5241,3625
"Firmian, Clary von (ID: 5268) hat Ehe mit Eglsee, genannt Feigensteiner, Wilhelm von (ID: 2940)",10710,5268,2940
"Hard (Frau des Konrad Hard), N. (ID: 5381) hat Ehe mit Hard, Konrad (ID: 5238)",11067,5381,5238
"Weineck, verh. von Andlau, Beatrix von (ID: 5385) hat Ehe mit Andlau, Hans von (ID: 5384)",11074,5385,5384
"Firmian, verh. Turisan, Anna (ID: 5389) hat Ehe mit Turisan, Ulrich (ID: 1672)",11103,5389,1672
"Hertenfelder, verh. von Leonburg, Barbara (ID: 5391) hat Ehe mit Leonburg, Zyprian von (ID: 1402)",11114,5391,1402
"Rümlang, Hans (Konrad) von (ID: 2511) hat Ehe mit Rümlang, Barbara von (ID: 2512)",11256,2511,2512
"N. (Frau des Hans von Bärenfels), N. (ID: 5436) hat Ehe mit Bärenfels, Hans von (ID: 511)",11273,5436,511
"Uffenloch, Barbara von (ID: 5466) hat Ehe mit Giltlingen, Schimpf von (ID: 4480)",11374,5466,4480
"Oheim, verh. Hamerspach, verh. Walch, Elisabeth (ID: 5471) hat Ehe mit Walch, Sigmund (ID: 2977)",11419,5471,2977
"Freyberg, Helena von (ID: 5489) hat Ehe mit Freyberg (der Ältere), Michael von (ID: 4195)",11454,5489,4195
"Helfenstein, verh. von Castelbark, verh. von Brandis, Praxedis von (ID: 5498) hat Ehe mit Castelbark, Johann von (ID: 1666)",11483,5498,1666
"Helfenstein, verh. von Castelbark, verh. von Brandis, Praxedis von (ID: 5498) hat Ehe mit Brandis, Ulrich von (ID: 2539)",11498,5498,2539
"Brandis, Ulrich von (ID: 2539) hat Ehe mit Helfenstein, verh. von Castelbark, verh. von Brandis, Praxedis von (ID: 5498)",11583,2539,5498
"Helfenstein, verh. von Castelbark, verh. von Brandis, Praxedis von (ID: 5498) hat Ehe mit Brandis, Ulrich von (ID: 2539)",11634,5498,2539
"Knöringen, verh. von Etzdorf, Dorothea von (ID: 5528) hat Ehe mit Etzdorf, Kaspar von (ID: 5529)",11642,5528,5529
"Witzig, Christina (ID: 5549) hat Ehe mit Witzig, Klaus (ID: 617)",11808,5549,617
"Hofhaimer, Paul (ID: 4377) hat Ehe mit Hofhaimer, Susanna (ID: 4378)",11854,4377,4378
"Sal, Konrad von (ID: 886) hat Ehe mit Weineck, verh. von Sal (?), N. von (ID: 5575)",11888,886,5575
"Seibersdorf, verh. Gneus, Cäcilia (ID: 2530) hat Ehe mit Gneus, Vigilius (ID: 2294)",11907,2530,2294
"Firmian, verh. Rantl, N. (ID: 5582) hat Ehe mit Rantl, Paul (ID: 273)",11920,5582,273
"Brunner, verh. Eppaner von Eppburg, Anna (ID: 4249) hat Ehe mit Eppaner von Eppburg, Stefan (ID: 3585)",11960,4249,3585
"Dorn, Ursula (ID: 5599) hat Ehe mit Dorn, Heinrich (ID: 2358)",12006,5599,2358
"Dorn, Dorothea (ID: 5600) hat Ehe mit Dorn, Konrad (ID: 2357)",12010,5600,2357
"Brandis, Ulrich von (ID: 2539) hat Ehe mit Helfenstein, verh. von Castelbark, verh. von Brandis, Praxedis von (ID: 5498)",12034,2539,5498
"Rümlang, Veronika von (ID: 5433) hat Ehe mit Rümlang, Dietrich von (ID: 385)",12154,5433,385
"Senng, verh. Spieß, Anna (ID: 300) hat Ehe mit Spieß vom Spieß, Leopold (ID: 294)",12211,300,294
"Zimmermann, geb. Scherer, Anna (ID: 5712) hat Ehe mit Zimmermann, genannt Schätzer, Burkhard (ID: 5711)",12364,5712,5711
"Fieger, verh. Ebenstetter, Magdalena (ID: 4242) hat Ehe mit Ebenstetter, Adolf (ID: 4244)",12601,4242,4244
"Andlau (Frau des Walther von Andlau), N. von (ID: 5754) hat Ehe mit Andlau, Walther von (ID: 3019)",12618,5754,3019
"Schwend, Martha (ID: 5764) hat Ehe mit Schwend, Hans (ID: 5765)",12637,5764,5765
