Name,Vorname,Start,End,Alternative Namen,Status,ID,Geschlecht
Bair,Ulrich,,,"Pair
Payer",,1492,männlich
Bair (Aufleger),Hans,,,Payer,,12742,männlich
Bair (Falkner),Konrad,,,"Valckner
Pair
Valkners
Pairen
Payr
Valcknner
Paÿer
Paýer
Payer
Paier
Paeyer",,594,männlich
Bair (Frau des Hans Bair),N.,,,Hennslin Bayrin,,12743,weiblich
Bair (Fußknecht),Hans,,,Payer,,13169,männlich
Bair (Hofwäscher),Hans,,,Payr,,11509,männlich
Bair (Sohn der Agnes Bair),N.,,,,,10996,männlich
Bair (Stallknecht),N.,,,Pair,,12148,männlich
Bair (Wagenknecht),Hans,,,Pair,,12989,männlich
Bair (Wagenknecht),Jakob,,,Paÿr,,10387,männlich
Baldauf,Elisabeth,,,Paldaufin,,12836,weiblich
Baldauf,Florian,,,Waldauf,,6162,männlich
Baldauf,Oswald,,,"Paldauf
Palauf",,12964,männlich
Baldauf,Peter,,,Paldauf von Solutor,,12588,männlich
Baldauf,Ulrich,,vor 1467-03-16 <1467-03-16>,"Paldauff
Pallauff",,9276,männlich
Baldauf,Wilhelm,,,"Ballaf
Ballauf
Pallof
Pallaff
Ballóff
Palauf
Baldauf
Baldauff
Palof
Paldauf
Paldauff
Pallauf
Paldawff
Pallauff
Pallaf
Palloff",,2170,männlich
Baldeck,Hans von,,,"Baldegk
Baldeckg
Baldegg
Baldeg
Waldegg",,4809,männlich
Baldeck,Marquard von,,vor 03.04.1472 <1472-04-02>,"Paldegk
Baldegk
Baldegkh
Waldegk",Herr,5382,männlich
Baldeck,N. von,,,"Waldegk
Waldegg",,7548,männlich
Balduini,Arcangelo,,1507-08-02,"Doctor Archangelus
Balduinus",Doktor; Ritter,3995,männlich
Bäli,Niklas,,,"Baͤli
Bely
Baͤlyͤ",,6746,männlich
Balkrim,Berthold von,,,Balckhrim,,4843,männlich
Bandino,Hans de,,,Gandino (?),Meister,9856,männlich
Bär,Hans,,,"Bern
Per von Basel",,6546,männlich
Barbier,Hans,,,"Barbirer
Barbirer von Bludentz
Barwirer",Meister,3740,männlich
Barbier,Jakob,,,"Barbierer
Barbirer
Parbierer",,9808,männlich
Barbier,Sigmund,,,"Parbirer
Barbirer
Barbierer
Barbirer
Parbierer",Meister,791,männlich
Barbier,Urban,,,"Parbierer
Barbierer
Barbirer
Parbirer",,8059,männlich
Barbier (Frau des Sigmund Barbier),N.,,,,,12132,weiblich
Bärenfels,Hans von,,,"Bernfels
Bernnfels
Berenfels
Werenfels
Bernfels von Basel",Herr; Ritter,511,männlich
Bärenfels,Konrad von,,,Pernfels,Herr,8472,männlich
Bärenfels,Leopold von,,,Perenfels,,12620,männlich
Bärenfels,Lutold von,,,Bernfels,Herr; Ritter,3970,männlich
Bärtl,N.,,,Paͤrtl,,10103,männlich
Bärtsch,Kaspar,,,,Meister,5016,männlich
Basel,Lorenz von,,,,,8807,männlich
Basler,Jakob,,,Päsler,,12180,männlich
Batterer,Johann,,,Battrer zu Newmburg im Brisgew,,10439,männlich
Bau,Friedrich von,,,"Paͤw
Paẅ",,9610,männlich
Bau,Vigilius von,,,"Paͤw
Paẃ",,9619,männlich
Bauer,Andreas,,,Paẃr,,10293,männlich
Bauer,Hans,,,Pawr,,8983,männlich
Bauer,Konrad,,,"Paẅr
Paẃr",,10291,männlich
Bauernfeind,Hans,,,"Pawrnfeint
Pawrfeẃndt
Pawrfeẃndt
Pawrenveind",,11927,männlich
Bauknecht,Balthasar,,,Pawknecht,,2808,männlich
Baumann,Niklas,,,Pawmann von Enßißhaim,,11212,männlich
Baumann,Sigmund,,,Pawman,,12428,männlich
Bäumann,N.,,,Bewman,,7867,männlich
Baumgartner,Antoni,,,"Pamgartner
Pawmgarter
Paúmgarter",Doktor,5688,männlich
Baumgartner,Hans,,,"Pamgartner
Pawͤmgarttner
Pamgartner von Kopfstain
Paingarter
Pawmgartter von Kuefstain
Pawmgarter
Pawͤmgartter von Kuefstain
Pawmgarter von Kuefstain
Pawmgartter
Paumgarter
Paungarter
Paumgartner von Kuefstain
Paungarter zu Kuefstain
Pamgartner von Kuefstain
Paungartner von Kuefstain
Pawngartner von Kuefstain
Paumgarter zu Kuefstain
Pawmgartner
Pámgartner
Pawgarter
Bamgartner von Kuefstain
Pamgarter
Pawngartner von Kopfstain
Pawngartneͤr von Kuefstain
Pawngartneͤr
Paͤmgartner
Pawngarter
Pauͦngartner
Pawnngarter",,3188,männlich
Baumgartner,Jakob,,,Pawmgartner,,9813,männlich
Baumgartner,Konrad,,,"Pämgartner
Pawmgarter
Paẃmgarter
Paumgartter
Pamgartner
Paẃmgartter
Pawngarter
Pawngartner
Pawmgartner
Pawnngarter",,2971,männlich
Baumgartner,N.,,,Pawmgartner,,8283,männlich
Baumgartner,Ulrich,,,,,8908,männlich
Bayern-Landshut,Georg von,,,"Pfalzgraf bei Rhein
Herzog in Ober- und Niederbayern
Georg der Reiche",Herzog,6573,männlich
Bayern-München,Albrecht von,1447-12-15,1508-03-18,"Albrecht IV.
Herzog in Ober- und Niederbayern",Herr; Pfalzgraf; Herzog,5426,männlich
Bayern-München,Christoph von,1449-01-06,1493-08-15,Christoph der Starke,Herr; Herzog,3063,männlich
Bayern-München,Sigmund von,,,,Pfalzgraf; Herzog,10209,männlich
Bayern-München,Wolfgang von,1451-11-01,1514-05-24,,Herzog,5428,männlich
Bayreuth,Hans,,,Peureute,,235,männlich
Beck,Andreas,,,Pekh,,11752,männlich
Beck,Anna,,,,,10824,weiblich
Beck,Antoni,,,Peck,,4980,männlich
Beck,Christian,,vor 1467-09-19 <1467-09-19>,Pekhen,,10823,männlich
Beck,Gall,,,Pecken,,11767,männlich
Beck,Gilg,,,"Pegk
Pecken in der Vorstat
Peckhen in der vorstat
Pecken vorm thor
Peck in der vorstat",,11412,männlich
Beck,Heinrich,,,Peken,,10124,männlich
Beck,Jakob,,,Pekhen,,3677,männlich
Beck,Jörg,,,Pekh,,10151,männlich
Beck,Kaspar,,,Peck,,13385,männlich
Beck,Konrad,,,"Peck
Pekgen
Peckh
(Cunli)",,4619,männlich
Beck,Konrad,,,"Pegken zu Fuͤessen
Pegken
Pekh",,10156,männlich
Beck,Lienhard,,,"Pekhen
Pegken",,10123,männlich
Beck,Lorenz,,,Peghen,,8223,männlich
Beck,Marx,,,"Pekchen von Hall
Pekchen",,9237,männlich
Beck,N.,,,Pecken,,10966,männlich
Beck,Utz,,,"Pecken
(Ulrich)
Bekhen
Peckhen",,11766,männlich
Beck (Bote),Ulrich,,,"Peckh
Pecken
Pekhen an der Anprugg
Beken an der Anprugg",,11276,männlich
Beckenknecht,Utz,,,Pekenknecht,,12758,männlich
Beck (Frau des Kaspar Beck),N.,,,,,13386,weiblich
"Beck, genannt Stempfelgraber",Wolfgang,,,"Pekhen
Pecken genannt Stempfelgraber
Pockh
Peckh
Peckh genannt Stempfelgraber
Peck
Stempflgraber
Stempfilgraber
Pock",,1684,männlich
Beck (Hertingen),Konrad,,,Pekhen von Herttingen,,9632,männlich
Beck (Rankweil),Hans,,,Pecken von Ranckhweil,,11832,männlich
Begrenser (?),Eckhard von,,,Gegrenser (?),,8747,männlich
Behebnichts,Hans,,,Behebnichtz,,12023,männlich
Beheim,Andreas,,,Behaim,,12014,männlich
Beheim,Jos,,,Beham,,10694,männlich
Beheim,N.,,,"Beheͤim
Pehaͤim",,9271,männlich
Beheim,Sebold,,,"Böhem
Beheͤim
Beͤheim
Behaim
Beham
Behem
Behám
Beheÿm",Ritter,9375,männlich
Beheim (der Ältere),Bernhard,,,"Behaim
Behem
Beham
Bechenn",Meister,2655,männlich
Beißweiß,Balthasar von,,,Bayssweys,,4726,männlich
Bentzlin,Berthold,,,Benntzlme,,11695,männlich
Berckheim,Hans Jakob von,,,,,3950,männlich
Berg,Konrad von,,,"vom Perg
von Berge zu Ephingen",,3845,männlich
Bergen,Jobst von,,,,,1413,männlich
Berger,Hans,,,Perger von Waltzhuͦt,,659,männlich
Berger,Hans,,,Perger von Clausen,,7239,männlich
Berger,Kaspar,,,Perger,,9251,männlich
Berger,Lienhard,,,Perger,,8763,männlich
Berger,Wilhelm,,,Perger,,10536,männlich
Bergheim,Hans Jakob von,,,Pergkheim,,4859,männlich
Bergheim,Jakob von,,,"Berckhaim
Perckhaim",Herr; Ritter,12508,männlich
Bergler,Hans,,,"Pergler
Pergler von Geczens
Pergler von Getzens beӱ Newburg",,9531,männlich
Bergmeister,Hermann,,,"Perckmaister
Perkhmaister",,10384,männlich
Beringen,Andreas Klaus,,,,,5100,männlich
Beringer,Johannes,,,"Peringer
Schenk
Schenckh
Schenckgen
Schengken
Schenngken
Schencken
Schennckhen",,8116,männlich
Beringer,Konstantin,,,,,6951,männlich
Berlower,Thomas,,,"von Cilli
von Zyli
von Zili",Meister; Doktor,5684,männlich
Bernier,Heinrich,,,,,5059,männlich
Bernitz,Sigmund,,,,,6500,männlich
Bernrieder,Ulrich,,,Pernrieder,,8020,männlich
Bernsteiner,Wilhelm,,,Pernstainers,,7319,männlich
Bertel,Johann,,,,Meister,6245,männlich
Berwanger,Albrecht,,,Berwannger,,5069,männlich
Berwanger,Hieronymus,,,Perwanger,,4177,männlich
Berwart,Jörg,,,Perwart,,12682,männlich
Beschorn,Hans,,,Berschorn,,9405,männlich
Bestlingen,Hans Konrad von,,,"Pästling
Pástling
Bastlingen
Pestlingen",,1001,männlich
Betzinger,N.,,,,,11176,männlich
Bierbräu,Peter,,,Pierprewͤ von Rotenberg,,12802,männlich
Bieseck,Watzla,,,"Biessegk
Piesegk von Cadmeyn",,8991,männlich
Bildschnitzer,Hans,,,"Piltschnitzer
Pildschnitzer
Pildschneider",,10811,männlich
Bill,Jos,,,,,11857,männlich
Binder,Hans,,,"Pinnter
Pintter",,10079,männlich
Birchach,Franz von,,,,,6117,männlich
Birger,Georg,,,,,9467,männlich
Birger,Hans,,,"Pirgker von Zúrich
Pregker von Zürch",,13167,männlich
Birkenberger,Oswald,,,Birkenperger,,9487,männlich
Bisatz,Niklas,,,Pysabz,,2839,männlich
Bischof,Eberhard,,,,,8900,männlich
Blank,Balthasar,,,,,9300,männlich
Blankenheim,Hans,,,"Blanckenhaÿn
Blanckenheim",,6166,männlich
Blarer der Ältere von Wartensee,Diethelm,,,"Blarer der ältere zu Watensee
Blarer von Wartensee dem elteren
Blärer von Wartensee
Blarer von Wartemsee dem elteren
Plárer von Wartense
Blarerer von Wartensee dem elteren",,7379,männlich
Blauer,Marx,,,,,4865,männlich
